ID,Prediction
51625,1
51678,0
51694,1
51695,1
51711,1
51718,0
51720,0
51723,1
51732,1
51760,1
51767,0
51789,1
51809,0
51814,1
51856,1
51857,0
51863,1
51868,0
51888,0
51905,1
51906,1
51907,1
51912,1
51933,0
51944,1
51952,0
51958,0
51962,0
51966,1
51991,0
51996,1
52013,0
52027,1
52066,0
52067,1
52068,1
52081,1
52083,1
52085,0
52094,1
52102,1
52128,0
52134,1
52135,1
52159,0
52160,1
52168,0
52185,0
52202,0
52205,1
52214,1
52229,0
52245,1
52251,0
52255,1
52259,0
52265,0
52266,1
52274,1
52276,1
52285,0
52298,1
52300,0
52309,0
52315,1
52339,0
52348,0
52366,0
52381,0
52391,1
52395,1
52400,1
52428,0
52442,0
52453,1
52461,0
52471,1
52479,1
52516,0
52519,0
52522,1
52524,1
52537,1
52539,1
52542,1
52551,1
52552,1
52585,1
52591,0
52608,1
52626,1
52631,1
52648,0
52661,1
52662,1
52674,0
52676,0
52689,0
52709,1
52719,1
52725,0
52741,1
52766,0
52795,1
52799,1
52814,1
52816,1
52828,1
52841,1
52842,1
52898,0
52901,1
52922,1
52923,1
52964,1
53019,1
53022,1
53023,1
53030,0
53068,0
53098,0
53099,1
53109,0
53137,1
53138,1
53151,1
53154,1
53163,1
53176,1
53187,1
53190,1
53201,1
53205,1
53243,1
53260,1
53268,0
53279,1
53291,1
53294,1
53296,0
53297,0
53309,1
53324,1
53353,1
53366,0
53368,1
53369,0
53377,1
53389,1
53398,0
53405,0
53418,1
53427,0
53435,0
53468,0
53491,0
53494,0
53498,1
53516,1
53529,1
53533,1
53553,1
53559,1
53572,0
53585,0
53604,1
53618,0
53621,1
53639,1
53664,1
53668,1
53671,1
53698,1
53702,1
53763,0
53765,1
53798,1
53800,1
53812,1
53828,0
53830,1
53840,0
53848,1
53851,1
53858,1
53881,1
53883,0
53886,1
53894,0
53896,1
53908,1
53938,0
53955,1
54021,1
54030,1
54032,0
54039,0
54046,0
54071,0
54084,1
54086,1
54090,0
54106,1
54108,0
54119,1
54123,0
54128,0
54137,0
54158,1
54172,1
54173,0
54188,0
54192,0
54196,0
54215,1
54254,0
54271,0
54281,0
54284,1
54288,1
54306,0
54334,1
54362,0
54371,1
54375,1
54383,0
54392,1
54396,1
54402,0
54418,1
54426,1
54439,1
54456,1
54460,1
54464,1
54487,1
54492,1
54498,1
54522,0
54530,0
54551,1
54586,0
54600,1
54622,1
54628,0
54631,1
54633,1
54640,1
54666,0
54687,1
54704,1
54711,0
54725,1
54731,1
54738,1
54767,1
54789,1
54800,1
54812,0
54813,1
54829,0
54838,0
54887,1
54894,1
54897,1
54900,1
54906,0
54918,0
54923,1
54937,1
54939,0
54958,1
54990,1
54998,1
55001,1
55006,0
55013,1
55027,1
55034,1
55047,1
55057,1
55065,1
55084,0
55085,0
55107,1
55109,1
55110,1
55115,1
55125,1
55127,1
55141,1
55191,0
55194,1
55205,0
55206,1
55214,1
55225,1
55239,1
55248,1
55250,1
55256,1
55258,0
55274,1
55288,1
55290,0
55299,1
55303,1
55306,1
55316,1
55325,0
55381,1
55408,0
55420,0
55456,0
55460,1
55473,0
55474,1
55477,0
55478,1
55486,1
55519,1
55529,0
55545,0
55549,0
55617,0
55628,1
55646,1
55656,1
55660,0
55662,0
55664,1
55695,1
55698,1
55700,0
55701,1
55739,1
55760,1
55797,1
55804,0
55820,0
55822,1
55831,1
55835,0
55845,1
55850,0
55865,1
55869,0
55884,0
55892,0
55921,1
55933,0
55980,1
55986,0
56020,1
56029,1
56037,1
56060,1
56073,0
56096,0
56097,0
56098,1
56119,1
56127,1
56128,1
56133,1
56135,1
56137,1
56169,0
56172,0
56182,1
56185,0
56214,1
56216,1
56220,1
56222,1
56240,0
56248,1
56254,1
56268,0
56278,1
56318,1
56332,0
56339,1
56346,1
56347,1
56356,0
56368,1
56374,1
56381,1
56405,0
56425,0
56443,1
56496,1
56499,0
56526,1
56556,1
56562,0
56568,0
56569,1
56572,0
56585,1
56614,1
56622,1
56644,1
56664,1
56670,0
56689,1
56693,1
56737,0
56744,0
56772,1
56785,1
56829,1
56839,0
56840,0
56843,1
56858,1
56867,1
56868,1
56899,1
56900,0
56913,1
56919,1
56939,1
56951,1
56969,1
56971,1
56983,0
56984,1
57013,0
57021,0
57026,0
57053,1
57059,0
57086,0
57116,0
57133,1
57176,1
57192,0
57194,0
57208,0
57210,1
57222,0
57224,1
57231,1
57246,1
57297,1
57305,1
57309,1
57336,1
57348,1
57375,0
57377,1
57387,0
57388,1
57400,1
57411,1
57420,1
57429,1
57430,0
57437,1
57492,1
57508,1
57509,1
57517,1
57539,1
57545,0
57550,1
57557,1
57577,0
57601,0
57650,0
57651,1
57668,1
57677,0
57687,0
57702,0
57714,0
57729,1
57743,1
57751,0
57769,1
57775,0
57785,1
57788,1
57794,0
57796,1
57800,1
57804,1
57837,1
57841,1
57842,1
57855,1
57871,0
57892,1
57906,1
57911,1
57914,1
57925,1
57926,0
57945,0
57966,1
57984,1
58007,1
58033,0
58040,1
58058,1
58084,1
58095,1
58101,1
58103,0
58111,1
58114,1
58164,1
58168,0
58173,0
58175,1
58176,1
58191,0
58225,0
58227,1
58233,1
58263,1
58274,0
58295,1
58318,0
58321,1
58337,1
58340,0
58360,0
58384,1
58386,1
58402,0
58417,1
58422,1
58424,0
58452,1
58488,1
58505,0
58570,1
58579,1
58582,0
58611,1
58619,1
58637,1
58643,0
58659,0
58661,0
58664,1
58670,1
58704,0
58712,1
58714,0
58725,1
58785,1
58796,1
58798,1
58817,1
58821,1
58828,0
58829,1
58843,0
58845,1
58851,0
58856,1
58882,0
58884,1
58922,1
58948,1
58959,0
58965,1
58974,1
58975,1
58982,1
58993,1
58996,1
59006,0
59032,0
59053,0
59054,0
59058,0
59072,0
59092,1
59099,1
59115,0
59118,0
59132,0
59142,1
59143,1
59176,1
59200,1
59212,0
59219,0
59220,0
59231,0
59237,0
59252,1
59257,1
59280,1
59296,1
59300,0
59301,0
59310,0
59317,1
59342,0
59349,1
59359,0
59391,0
59397,1
59409,0
59417,1
59427,1
59453,1
59479,1
59520,1
59528,0
59539,0
59542,1
59545,1
59562,1
59572,1
59590,1
59594,0
59606,1
59615,1
59662,1
59663,0
59687,0
59704,1
59716,1
59720,1
59721,0
59740,1
59764,1
59788,1
59808,1
59817,1
59826,0
59830,0
59842,1
59854,1
59863,0
59870,0
59890,0
59911,0
59915,0
59943,1
59964,1
59988,0
60024,1
60052,1
60063,1
60065,0
60086,1
60115,0
60120,0
60122,1
60125,0
60154,1
60161,1
60163,1
60174,0
60185,1
60187,1
60192,1
60205,0
60215,0
60218,1
60219,1
60232,1
60244,0
60256,1
60271,1
60274,1
60291,0
60335,1
60341,1
60347,1
60356,1
60371,1
60376,1
60404,1
60411,1
60420,1
60428,1
60431,0
60442,1
60443,1
60450,1
60465,1
60489,1
60497,0
60501,0
60504,0
60540,1
60547,0
60551,1
60566,1
60586,0
60594,1
60599,1
60632,1
60685,1
60698,1
60700,1
60706,0
60720,1
60721,1
60724,1
60729,0
60740,1
60742,1
60748,1
60755,0
60782,0
60800,1
60802,1
60803,0
60827,1
60828,0
60829,0
60830,1
60833,1
60835,1
60837,1
60848,1
60865,0
60873,1
60876,0
60887,0
60905,1
60917,1
60921,1
60922,1
60936,0
60941,0
60950,1
60956,1
60977,1
60985,1
61023,0
61041,1
61044,1
61054,0
61076,1
61081,0
61127,0
61141,0
61162,1
61181,0
61191,1
61207,1
61216,1
61231,1
61239,1
61258,0
61259,1
61311,1
61319,1
61326,1
61328,1
61334,1
61342,1
61356,0
61375,0
61445,1
61453,0
61467,0
61478,0
61488,0
61492,0
61509,1
61515,1
61519,1
61532,1
61547,0
61555,1
61567,1
61570,1
61579,0
61581,0
61587,0
61589,0
61595,0
61605,0
61626,0
61630,0
61637,1
61641,1
61649,1
61660,1
61668,1
61675,1
61676,1
61685,0
61693,1
61695,0
61707,0
61718,0
61726,1
61731,1
61744,1
61770,1
61777,0
61794,0
61814,1
61825,0
61839,0
61843,1
61863,0
61887,1
61898,0
61899,0
61923,1
