ID,Prediction
51625,0
51678,0
51694,1
51695,0
51711,1
51718,0
51720,0
51723,0
51732,0
51760,1
51767,0
51789,0
51809,0
51814,0
51856,1
51857,0
51863,1
51868,0
51888,0
51905,1
51906,0
51907,1
51912,1
51933,0
51944,0
51952,0
51958,0
51962,0
51966,0
51991,0
51996,1
52013,0
52027,1
52066,0
52067,0
52068,0
52081,0
52083,0
52085,0
52094,1
52102,0
52128,0
52134,1
52135,0
52159,0
52160,1
52168,0
52185,0
52202,0
52205,1
52214,0
52229,0
52245,0
52251,0
52255,1
52259,0
52265,0
52266,1
52274,1
52276,0
52285,0
52298,0
52300,0
52309,0
52315,1
52339,0
52348,0
52366,0
52381,0
52391,1
52395,1
52400,1
52428,0
52442,0
52453,1
52461,0
52471,0
52479,0
52516,0
52519,0
52522,0
52524,0
52537,1
52539,1
52542,0
52551,0
52552,0
52585,0
52591,0
52608,1
52626,1
52631,0
52648,0
52661,1
52662,1
52674,0
52676,0
52689,0
52709,0
52719,0
52725,0
52741,1
52766,0
52795,1
52799,0
52814,1
52816,0
52828,0
52841,1
52842,1
52898,0
52901,0
52922,0
52923,0
52964,0
53019,1
53022,0
53023,0
53030,0
53068,0
53098,0
53099,0
53109,0
53137,0
53138,0
53151,0
53154,1
53163,0
53176,1
53187,0
53190,0
53201,1
53205,0
53243,1
53260,0
53268,0
53279,0
53291,0
53294,1
53296,0
53297,0
53309,0
53324,1
53353,0
53366,0
53368,0
53369,0
53377,1
53389,0
53398,0
53405,0
53418,1
53427,0
53435,0
53468,0
53491,0
53494,1
53498,0
53516,1
53529,1
53533,1
53553,0
53559,1
53572,0
53585,0
53604,1
53618,0
53621,0
53639,1
53664,1
53668,0
53671,0
53698,1
53702,0
53763,0
53765,0
53798,0
53800,0
53812,0
53828,0
53830,0
53840,0
53848,0
53851,0
53858,0
53881,1
53883,0
53886,0
53894,0
53896,0
53908,0
53938,0
53955,0
54021,1
54030,0
54032,0
54039,0
54046,0
54071,0
54084,0
54086,1
54090,0
54106,1
54108,0
54119,0
54123,0
54128,0
54137,0
54158,0
54172,0
54173,0
54188,0
54192,0
54196,0
54215,0
54254,0
54271,0
54281,0
54284,1
54288,0
54306,0
54334,0
54362,0
54371,1
54375,1
54383,0
54392,1
54396,0
54402,0
54418,1
54426,0
54439,0
54456,1
54460,1
54464,1
54487,1
54492,0
54498,0
54522,0
54530,0
54551,1
54586,0
54600,1
54622,0
54628,0
54631,1
54633,0
54640,0
54666,0
54687,0
54704,1
54711,0
54725,1
54731,0
54738,1
54767,1
54789,1
54800,0
54812,1
54813,1
54829,0
54838,0
54887,1
54894,1
54897,0
54900,1
54906,0
54918,0
54923,1
54937,0
54939,0
54958,1
54990,1
54998,0
55001,0
55006,0
55013,0
55027,1
55034,0
55047,1
55057,1
55065,0
55084,0
55085,0
55107,1
55109,0
55110,0
55115,0
55125,0
55127,0
55141,0
55191,0
55194,1
55205,0
55206,0
55214,0
55225,0
55239,1
55248,0
55250,1
55256,0
55258,0
55274,0
55288,0
55290,0
55299,0
55303,1
55306,1
55316,0
55325,0
55381,0
55408,0
55420,0
55456,0
55460,0
55473,0
55474,0
55477,0
55478,0
55486,0
55519,0
55529,0
55545,0
55549,0
55617,0
55628,0
55646,0
55656,0
55660,0
55662,0
55664,0
55695,0
55698,1
55700,0
55701,1
55739,0
55760,0
55797,0
55804,0
55820,0
55822,0
55831,1
55835,0
55845,0
55850,0
55865,0
55869,0
55884,0
55892,0
55921,1
55933,0
55980,0
55986,0
56020,0
56029,1
56037,0
56060,1
56073,0
56096,0
56097,0
56098,1
56119,0
56127,0
56128,1
56133,0
56135,1
56137,0
56169,0
56172,0
56182,0
56185,0
56214,0
56216,0
56220,0
56222,1
56240,0
56248,1
56254,1
56268,0
56278,1
56318,1
56332,0
56339,1
56346,0
56347,0
56356,0
56368,0
56374,0
56381,0
56405,0
56425,0
56443,0
56496,1
56499,0
56526,0
56556,0
56562,0
56568,0
56569,1
56572,0
56585,0
56614,0
56622,1
56644,0
56664,1
56670,0
56689,1
56693,0
56737,0
56744,0
56772,1
56785,0
56829,1
56839,0
56840,0
56843,0
56858,0
56867,0
56868,0
56899,0
56900,0
56913,0
56919,1
56939,0
56951,0
56969,1
56971,0
56983,0
56984,1
57013,0
57021,0
57026,0
57053,0
57059,0
57086,0
57116,0
57133,1
57176,0
57192,0
57194,0
57208,0
57210,1
57222,0
57224,1
57231,0
57246,0
57297,0
57305,0
57309,1
57336,0
57348,1
57375,0
57377,0
57387,0
57388,0
57400,0
57411,1
57420,0
57429,0
57430,0
57437,1
57492,0
57508,0
57509,0
57517,0
57539,0
57545,1
57550,0
57557,1
57577,0
57601,0
57650,0
57651,0
57668,0
57677,0
57687,0
57702,0
57714,0
57729,1
57743,0
57751,0
57769,0
57775,0
57785,1
57788,1
57794,0
57796,0
57800,1
57804,0
57837,1
57841,0
57842,1
57855,1
57871,0
57892,0
57906,0
57911,1
57914,1
57925,0
57926,0
57945,1
57966,1
57984,1
58007,1
58033,0
58040,0
58058,0
58084,0
58095,1
58101,0
58103,0
58111,1
58114,0
58164,0
58168,0
58173,0
58175,1
58176,1
58191,0
58225,0
58227,1
58233,0
58263,1
58274,0
58295,1
58318,0
58321,1
58337,0
58340,0
58360,0
58384,1
58386,0
58402,0
58417,0
58422,0
58424,0
58452,0
58488,1
58505,0
58570,0
58579,0
58582,0
58611,0
58619,1
58637,1
58643,0
58659,0
58661,0
58664,1
58670,1
58704,0
58712,0
58714,0
58725,1
58785,0
58796,0
58798,1
58817,1
58821,1
58828,0
58829,0
58843,0
58845,1
58851,0
58856,0
58882,0
58884,0
58922,0
58948,0
58959,0
58965,1
58974,1
58975,1
58982,0
58993,0
58996,0
59006,0
59032,1
59053,0
59054,0
59058,0
59072,0
59092,0
59099,0
59115,0
59118,0
59132,0
59142,0
59143,1
59176,0
59200,0
59212,0
59219,0
59220,0
59231,0
59237,0
